Fetching metadata from peers/trackers...
Metadata OK: VGG-Face2, 40.25 GB, 14 files
/home/b2/projects/zavrsni/face_recognition/datasets/download_vggface2.py:39: DeprecationWarning: files() is deprecated
  fp = info.files().file_path(i)
Selected files: ['VGG-Face2/README.md', 'VGG-Face2/README.txt', 'VGG-Face2/data/train_list.txt', 'VGG-Face2/data/vggface2_train.tar.gz', 'VGG-Face2/meta/bb_landmark.tar.gz', 'VGG-Face2/meta/class_overlap_vgg1_2.txt', 'VGG-Face2/meta/identity_meta.csv', 'VGG-Face2/meta/train_list.txt', 'VGG-Face2/samples_0.png']
0% | 0.00/40.25 GB | DL 0.07 MB/s | peers 2 | state downloading
23% | 8.82/38.22 GB | DL 44.17 MB/s | peers 5 | state downloading
24% | 9.37/38.22 GB | DL 55.11 MB/s | peers 6 | state downloading
25% | 9.66/38.22 GB | DL 57.22 MB/s | peers 6 | state downloading
26% | 10.19/38.22 GB | DL 55.15 MB/s | peers 6 | state downloading
27% | 10.44/38.22 GB | DL 53.22 MB/s | peers 6 | state downloading
28% | 10.72/38.22 GB | DL 56.76 MB/s | peers 6 | state downloading
29% | 11.26/38.22 GB | DL 56.08 MB/s | peers 6 | state downloading
30% | 11.54/38.22 GB | DL 59.30 MB/s | peers 6 | state downloading
31% | 12.06/38.22 GB | DL 52.69 MB/s | peers 6 | state downloading
32% | 12.32/38.22 GB | DL 56.00 MB/s | peers 6 | state downloading
32% | 12.61/38.22 GB | DL 55.65 MB/s | peers 6 | state downloading
33% | 12.88/38.22 GB | DL 57.76 MB/s | peers 6 | state downloading
34% | 13.17/38.22 GB | DL 58.91 MB/s | peers 6 | state downloading
35% | 13.43/38.22 GB | DL 55.47 MB/s | peers 5 | state downloading
36% | 13.99/38.22 GB | DL 57.46 MB/s | peers 5 | state downloading
37% | 14.26/38.22 GB | DL 56.77 MB/s | peers 5 | state downloading
38% | 14.54/38.22 GB | DL 57.17 MB/s | peers 5 | state downloading
39% | 15.08/38.22 GB | DL 57.18 MB/s | peers 5 | state downloading
40% | 15.36/38.22 GB | DL 57.46 MB/s | peers 5 | state downloading
41% | 15.86/38.22 GB | DL 51.53 MB/s | peers 5 | state downloading
42% | 16.09/38.22 GB | DL 46.08 MB/s | peers 5 | state downloading
43% | 16.65/38.22 GB | DL 55.25 MB/s | peers 6 | state downloading
44% | 16.93/38.22 GB | DL 56.40 MB/s | peers 6 | state downloading
45% | 17.47/38.22 GB | DL 56.36 MB/s | peers 5 | state downloading
46% | 17.75/38.22 GB | DL 55.89 MB/s | peers 5 | state downloading
47% | 18.00/38.22 GB | DL 56.37 MB/s | peers 5 | state downloading
48% | 18.45/38.22 GB | DL 50.56 MB/s | peers 5 | state downloading
49% | 18.74/38.22 GB | DL 55.85 MB/s | peers 5 | state downloading
49% | 19.01/38.22 GB | DL 55.16 MB/s | peers 5 | state downloading
50% | 19.27/38.22 GB | DL 52.73 MB/s | peers 5 | state downloading
51% | 19.53/38.22 GB | DL 53.01 MB/s | peers 5 | state downloading
52% | 20.04/38.22 GB | DL 52.32 MB/s | peers 5 | state downloading
53% | 20.30/38.22 GB | DL 51.39 MB/s | peers 5 | state downloading
54% | 20.82/38.22 GB | DL 54.77 MB/s | peers 5 | state downloading
55% | 21.08/38.22 GB | DL 54.18 MB/s | peers 5 | state downloading
56% | 21.61/38.22 GB | DL 55.54 MB/s | peers 5 | state downloading
57% | 21.87/38.22 GB | DL 53.69 MB/s | peers 5 | state downloading
57% | 22.14/38.22 GB | DL 55.29 MB/s | peers 5 | state downloading
58% | 22.44/38.22 GB | DL 59.29 MB/s | peers 5 | state downloading
59% | 22.66/38.22 GB | DL 53.51 MB/s | peers 5 | state downloading
60% | 22.95/38.22 GB | DL 55.94 MB/s | peers 5 | state downloading
61% | 23.45/38.22 GB | DL 51.79 MB/s | peers 5 | state downloading
62% | 23.73/38.22 GB | DL 55.73 MB/s | peers 5 | state downloading
63% | 24.29/38.22 GB | DL 59.10 MB/s | peers 5 | state downloading
64% | 24.57/38.22 GB | DL 57.11 MB/s | peers 5 | state downloading
65% | 25.09/38.22 GB | DL 53.23 MB/s | peers 5 | state downloading
66% | 25.36/38.22 GB | DL 55.87 MB/s | peers 5 | state downloading
67% | 25.61/38.22 GB | DL 51.40 MB/s | peers 5 | state downloading
68% | 26.12/38.22 GB | DL 49.06 MB/s | peers 5 | state downloading
69% | 26.39/38.22 GB | DL 53.86 MB/s | peers 5 | state downloading
70% | 26.90/38.22 GB | DL 52.25 MB/s | peers 6 | state downloading
71% | 27.17/38.22 GB | DL 54.35 MB/s | peers 6 | state downloading
72% | 27.71/38.22 GB | DL 56.70 MB/s | peers 6 | state downloading
73% | 27.99/38.22 GB | DL 56.70 MB/s | peers 6 | state downloading
74% | 28.54/38.22 GB | DL 56.48 MB/s | peers 6 | state downloading
75% | 28.83/38.22 GB | DL 58.63 MB/s | peers 6 | state downloading
76% | 29.30/38.22 GB | DL 53.56 MB/s | peers 6 | state downloading
77% | 29.57/38.22 GB | DL 53.98 MB/s | peers 6 | state downloading
78% | 30.05/38.22 GB | DL 54.07 MB/s | peers 6 | state downloading
79% | 30.33/38.22 GB | DL 57.27 MB/s | peers 6 | state downloading
80% | 30.61/38.22 GB | DL 57.05 MB/s | peers 6 | state downloading
81% | 31.18/38.22 GB | DL 57.91 MB/s | peers 6 | state downloading
82% | 31.45/38.22 GB | DL 55.58 MB/s | peers 6 | state downloading
83% | 31.73/38.22 GB | DL 57.64 MB/s | peers 6 | state downloading
84% | 32.28/38.22 GB | DL 58.99 MB/s | peers 6 | state downloading
85% | 32.56/38.22 GB | DL 57.52 MB/s | peers 6 | state downloading
86% | 33.13/38.22 GB | DL 57.76 MB/s | peers 6 | state downloading
87% | 33.41/38.22 GB | DL 57.55 MB/s | peers 6 | state downloading
88% | 33.69/38.22 GB | DL 57.17 MB/s | peers 6 | state downloading
89% | 34.16/38.22 GB | DL 53.47 MB/s | peers 6 | state downloading
90% | 34.42/38.22 GB | DL 52.02 MB/s | peers 6 | state downloading
91% | 34.93/38.22 GB | DL 54.85 MB/s | peers 6 | state downloading
92% | 35.21/38.22 GB | DL 57.57 MB/s | peers 6 | state downloading
93% | 35.77/38.22 GB | DL 58.91 MB/s | peers 6 | state downloading
94% | 36.04/38.22 GB | DL 55.57 MB/s | peers 6 | state downloading
95% | 36.32/38.22 GB | DL 58.10 MB/s | peers 6 | state downloading
96% | 36.88/38.22 GB | DL 58.21 MB/s | peers 6 | state downloading
97% | 37.15/38.22 GB | DL 57.89 MB/s | peers 6 | state downloading
98% | 37.71/38.22 GB | DL 58.35 MB/s | peers 6 | state downloading
99% | 37.91/38.22 GB | DL 43.01 MB/s | peers 6 | state downloading
99% | 38.17/38.22 GB | DL 51.21 MB/s | peers 6 | state downloading
100% | 38.22/38.22 GB | DL 9.04 MB/s | peers 0 | state finished
DOWNLOAD COMPLETE
